id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
113bLFbp3F9MVN0w2KJ1ma,How Long Do I Have to Wait for You?,67,243760,0,['Sharon Jones & The Dap-Kings'],['6LufpoVlIYKQCu9Gjpk8B7'],2005-01-25,0.674,0.909,10,-3.369,0,0.0464,0.469,0.0131,0.105,0.969,103.942,4
1pHP4JeQV9wDx87D6qH9hD,Here It Goes Again,67,179813,0,['OK Go'],['3hozsZ9hqNq7CoBGYNlFTz'],2005-01-01,0.537,0.882,0,-2.306,1,0.0403,0.000342,9.06e-05,0.12,0.81,145.729,4
0DLOyyQvwPTSDKuhpzMMwA,I'm Sprung,67,231040,0,['T-Pain'],['3aQeKQSyrW4qWr35idm0cy'],2005-12-06,0.728,0.327,0,-11.596,0,0.0999,0.0948,0.0,0.103,0.195,100.0,4
2uiEqPjMmIJXOKplzsEASP,"Lean Back (feat. Lil Jon, Eminem, Mase & Remy Martin) - Remix",67,290267,1,"['Fat Joe', 'Eminem', 'Lil Jon', 'Mase', 'Remy Ma']","['3ScY9CQxNLQei8Umvpx5g6', '7dGJo4pcD2V6oG8kP0tJRR', '7sfl4Xt5KmfyDs2T3SVSMK', '1wiBLzTI7z9RUwEpNPdFT6', '39mHYiNmLR7p8PXNG8Wll6']",2005-06-14,0.611,0.754,1,-5.035,0,0.366,0.116,0.0,0.0945,0.565,126.961,5
0bMVCO35RJiUhAfvFsLjIF,Este Corazón,67,210440,0,"['RBD', 'Anahí', 'Dulce María', 'Maite Perroni', 'Christian Chávez', 'Christopher von Uckermann', 'Alfonso Herrera']","['7cjh6y0V9SsyCrWSXTzwOs', '0TeVa4xdLB8vdzjsvKH6Ri', '6kaefrHSdAvxhhCVDFTCEL', '6ModsWtBph2rE6zCTVxvZt', '0aMqt2uGLuHj4eI8oXgVzN', '5O8cudluftNZ6PCwRzvYxo', '0veZkZPeWoJQ9gt6VAXlkN']",2005-01-01,0.497,0.619,7,-4.811,1,0.0322,0.47,0.0,0.0708,0.756,159.996,4
0ZAJ660VP57lLK4U7NlGOy,Nunca quise,67,260371,0,['Intoxicados'],['4VgvR7eu3k2T20mo6mXhXF'],2005,0.709,0.787,9,-6.3,1,0.0279,0.0891,0.0,0.149,0.874,118.001,4
7M13FwBAKWNa2jqcZeUhL6,Love Generation - Radio Edit,67,204798,0,"['Bob Sinclar', 'Gary Pine']","['5YFS41yoX0YuFY39fq21oN', '2cSQyZg5t274Y3Nv0uuwjd']",2005-06-20,0.723,0.872,1,-3.617,1,0.0586,0.192,0.000154,0.0814,0.544,128.038,4
0eEgMbSzOHmkOeVuNC3E0k,Kids with Guns,67,225773,0,['Gorillaz'],['3AA28KZvwAUcZuOKwyblJQ'],2005-05-23,0.838,0.475,4,-5.505,0,0.036,0.000417,0.714,0.226,0.711,106.217,4
2QurCbkPO14pjrikPNja0h,I'm N Luv (Wit a Stripper) (feat. Mike Jones),67,239413,1,"['T-Pain', 'Mike Jones']","['3aQeKQSyrW4qWr35idm0cy', '3VRwgM5HSnCJfwvtjIQZf4']",2005-12-06,0.739,0.368,8,-10.233,1,0.0845,0.00542,0.0,0.171,0.467,144.992,4
4Ilen0VxPEsVRLpnePji8P,"Slow Down - 12"" Version",67,258667,0,['Bobby V.'],['4HgF4KnohByNElYid7iCNb'],2005-01-01,0.568,0.732,11,-4.896,0,0.103,0.179,4.92e-06,0.401,0.626,186.048,4
2jQeX1fMZo5z82w3BviN5x,La Boda,66,289840,0,['Aventura'],['1qto4hHid1P71emI6Fd8xi'],2005-04-26,0.768,0.627,9,-6.84,0,0.0483,0.59,0.0,0.741,0.774,130.061,4
249Z7XT6mf8B2zuI0RaeS0,Violent Pornography,66,211333,1,['System Of A Down'],['5eAWCfyUhZtHHtBdNk56l1'],2005-05-17,0.459,0.958,6,-2.333,1,0.0877,0.0283,0.0,0.108,0.586,142.707,4
5hkgrWxkobGtg30I7DsfVu,Ten Thousand Fists,66,212040,0,['Disturbed'],['3TOqt5oJwL9BE2NG9MEwDa'],2005-09-19,0.54,0.977,1,-3.409,1,0.0878,2.55e-05,0.0553,0.0533,0.211,106.911,4
5pbajJXEPdcoXQPXoAVR1t,You're Beautiful,66,209493,1,['James Blunt'],['7KMqksf0UMdyA0UCf4R3ux'],2005-10-04,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,4
1lS060MuE8QTmDPFXhSCD3,Durmiendo con la Luna,66,258640,0,['Elefante'],['5oYHL2SijkMY52gKIhYJNb'],2005,0.612,0.507,0,-7.872,1,0.0283,0.0117,7.05e-06,0.112,0.352,95.018,4
42GP0xKtkolBnmqQRvSllO,Welcome Home,66,374973,1,['Coheed and Cambria'],['3utxjLheHaVEd9bPjQRsy8'],2005-01-15,0.442,0.951,11,-5.27,1,0.11,0.00648,1.12e-06,0.0887,0.158,154.004,4
5MYFw4T2gy52pOGBN4EYHS,"Stay Fly (feat. Young Buck, Eightball & MJG)",66,236600,1,"['Three 6 Mafia', 'Young Buck', '8Ball', 'MJG']","['26s8LSolLfCIY88ysQbIuT', '4pr7J7wzgObkE3DD3Izi7q', '6B16XZWuJ9VERn7pXxCIda', '6pDFdYZARPitpkfm44UsOQ']",2005-09-27,0.789,0.881,11,-5.758,1,0.0331,0.109,0.0,0.355,0.647,133.299,4
1OYoXMNCUYlpDyMONw2sNc,Alguien Te Va A Hacer Llorar,66,249413,0,['Intocable'],['108moq3rq6bm1M4Ypz0J02'],2005-01-01,0.721,0.591,6,-7.611,0,0.0403,0.39,0.0,0.135,0.916,125.118,4
